sentences	labels
Die Siedler von Catan – Das Kartenspiel für zwei Spieler ist ein 1996 bei Kosmos erschienenes Spiel des Autors Klaus Teuber mit Grafiken von Franz Vohwinkel, das sich an das erfolgreiche Brettspiel Die Siedler von Catan anlehnt.	<arg1> Die Siedler von Catan – Das Kartenspiel </arg1> <rel> Grafik </rel> <arg2> Franz Vohwinkel </arg2>
Am Ende des 19. Jahrhunderts musste Ouro Preto den Status der Hauptstadt von Minas Gerais an das 100 km entfernte Belo Horizonte abtreten.	<arg1> Ouro Preto </arg1> <rel> Horizont </rel> <arg2> Minas Gerais </arg2>
Sansibar-Stadt, Hauptort der Insel sowie Hauptstadt des tansanischen Teilstaates Sansibar, liegt an der Westküste von Unguja.	<arg1> Unguja </arg1> <rel> Hauptort </rel> <arg2> Sansibar-Stadt </arg2>
Aus der Avro Lancaster wurde die Avro Lincoln entwickelt, das letzte von Kolbenmotoren angetriebene Muster des RAF Bomber Command.	<arg1> Avro Lancaster </arg1> <rel> Muster </rel> <arg2> Bomber </arg2>
Auf der Schallplatte Abbey Road wurde Here Comes the Sun als erstes Stück der B-Seite platziert.	<arg1> Here Comes the Sun </arg1> <rel> Schallplatte </rel> <arg2> Abbey Road </arg2>
Bis zur Amtsübernahme des neuen, ebenfalls von Reiner Haseloff geführten Kabinetts (Kabinett Haseloff II), dem neben CDU und SPD mit Bündnis 90/Die Grünen eine dritte Regierungspartei angehörte, blieben die Regierungsmitglieder geschäftsführend im Amt.	<arg1> Kabinett Haseloff I </arg1> <rel> Bündnis </rel> <arg2> CDU und SPD </arg2>
Bis zur Amtsübernahme des neuen, ebenfalls von Reiner Haseloff geführten Kabinetts (Kabinett Haseloff II), dem neben CDU und SPD mit Bündnis 90/Die Grünen eine dritte Regierungspartei angehörte, blieben die Regierungsmitglieder geschäftsführend im Amt.	<arg1> Kabinett Haseloff I </arg1> <rel> Regierungsmitglied </rel> <arg2> 9 </arg2>
Hurlach ist eine Gemeinde im oberbayerischen Landkreis Landsberg am Lech und ein Mitglied der Verwaltungsgemeinschaft Igling.	<arg1> Hurlach </arg1> <rel> Landkreis </rel> <arg2> Landsberg am Lech </arg2>
Hurlach ist eine Gemeinde im oberbayerischen Landkreis Landsberg am Lech und ein Mitglied der Verwaltungsgemeinschaft Igling.	<arg1> Hurlach </arg1> <rel> Verwaltungsgemeinschaft </rel> <arg2> Igling </arg2>
Das Ross-River-Virus (RRV) ist ein Arbovirus aus der Familie der Togaviridae, Genus Alphavirus.	<arg1> Ross-River-Virus </arg1> <rel> Familie </rel> <arg2> Togaviridae </arg2>
Das Ross-River-Virus (RRV) ist ein Arbovirus aus der Familie der Togaviridae, Genus Alphavirus.	<arg1> Ross-River-Virus </arg1> <rel> Genus </rel> <arg2> Alphavirus </arg2>
Ende 2018 lebten im Erzbistum Berlin 408723 Katholiken, davon 320915 in Berlin, 72677 in Brandenburg, 14987 in Vorpommern und 144 in Sachsen-Anhalt.	<arg1> Erzbistum Berlin </arg1> <rel> Katholiken </rel> <arg2> 408723 </arg2>
Die Umsiedlung der Bewohner begann 2007 und erfolgte nach Borschemich (neu) als neuer nördlicher Stadtteil von Erkelenz westlich von Mennekrath.	<arg1> Borschemich </arg1> <rel> Bewohner </rel> <arg2> 0 </arg2>
Am 27. Februar 2016 kamen Borschemicher Bürger zusammen und fällten die historische Dorflinde, damit kein Fremder Hand an das trutzige Wahrzeichen des Dorfes legen konnte.	<arg1> Borschemich </arg1> <rel> Bürger </rel> <arg2> 0 </arg2>
Remy Sandoy begann seine Karriere bei den West Auckland Admirals in seiner Geburtsstadt.	<arg1> Remy Sandoy </arg1> <rel> Geburtsstadt </rel> <arg2> Auckland </arg2>
Swesda (russisch  für Stern) oder DOS-8 (,  für „Langzeit-Orbital-Station“) ist das russische Wohn- und Navigationsmodul der Internationalen Raumstation (ISS), gebaut von RKK Energija.	<arg1> Swesda </arg1> <rel> Raumstation </rel> <arg2> ISS </arg2>
Joss Whedon war Co-Autor des Skripts gemeinsam mit Cloverfield-Drehbuchautor Drew Goddard, der zusätzlich mit The Cabin in the Woods sein Regiedebüt gab.	<arg1> The Cabin in the Woods </arg1> <rel> Regie </rel> <arg2> Drew Goddard </arg2>
Joss Whedon war Co-Autor des Skripts gemeinsam mit Cloverfield-Drehbuchautor Drew Goddard, der zusätzlich mit The Cabin in the Woods sein Regiedebüt gab.	<arg1> The Cabin in the Woods </arg1> <rel> Skript </rel> <arg2> Drew Goddard, </arg2>
Der sehr kleine Foxes Tarn besitzt keinen erkennbaren Zufluss, aber einen unbenannten Abfluss an seiner Ostseite, der in den How Beck mündet, der wiederum in den River Esk fließt.	<arg1> Foxes Tarn </arg1> <rel> Abfluss </rel> <arg2> unbenannt </arg2>
Klein-Ruprechts ist eine Ortschaft und als Kleinruprechts eine Katastralgemeinde der Gemeinde Waldenstein im Bezirk Gmünd in Niederösterreich.	<arg1> Klein-Ruprechts </arg1> <rel> Bezirk </rel> <arg2> Gmünd </arg2>
Klein-Ruprechts ist eine Ortschaft und als Kleinruprechts eine Katastralgemeinde der Gemeinde Waldenstein im Bezirk Gmünd in Niederösterreich.	<arg1> Klein-Ruprechts </arg1> <rel> Gemeinde </rel> <arg2> Waldenstein </arg2>
Klein-Ruprechts ist eine Ortschaft und als Kleinruprechts eine Katastralgemeinde der Gemeinde Waldenstein im Bezirk Gmünd in Niederösterreich.	<arg1> Klein-Ruprechts </arg1> <rel> Katastralgemeinde </rel> <arg2> Kleinruprechts </arg2>
Der Magnate P 708 ist ein Konzeptfahrzeug des US-amerikanischen Rennwagenherstellers Galmer Engineering, dessen Entwicklung etwa 2005 begann.	<arg1> Magnate P 708 </arg1> <rel> Konzept </rel> <arg2> P 708 </arg2>
Die Toscana-Therapie ist das einzige Theaterstück des deutschen Dichters Robert Gernhardt.	<arg1> Toscana-Therapie </arg1> <rel> Dichter </rel> <arg2> Robert Gernhardt </arg2>
Im Winterfahrplan 1980/81 verkehrten vom Bahnhof Johanngeorgenstadt insgesamt 14 Personenzugpaare, die in der Mehrzahl von und nach Zwickau (Sachs) Hbf durchgebunden waren.	<arg1> Bahnhof Johanngeorgenstadt </arg1> <rel> Person </rel> <arg2> Bahnhof </arg2>
Von den Söhnen Heinrichs II., die er 1282 hinterließ, übernahmen Eberhard I. und Walram I. zunächst gemeinsam die Regierung der Grafschaft Zweibrücken, entschlossen sich jedoch nach 1286 zur Teilung.	<arg1> Grafschaft Zweibrücken </arg1> <rel> Regierung </rel> <arg2> Grafschaft </arg2>
Die Königs-Galerie Kassel ist eine 1995 eröffnete Einkaufsgalerie mit rund 60 Geschäften, Gastronomiebetrieben und Dienstleistern an der Königsstraße in Kassel.	<arg1> Königs-Galerie Kassel </arg1> <rel> Geschäfte </rel> <arg2> 60 </arg2>
Der Cadillac Aurora war ein Konzeptfahrzeug, das die Cadillac-Division von General Motors auf der Chicago Auto Show 1990 vorstellte.	<arg1> Cadillac Aurora </arg1> <rel> Konzept </rel> <arg2> Aurora </arg2>
Lymphocystivirus (LCDV, auch LCV) ist eine Gattung von Riesenviren (Nucleocytoviricota, NCLDVs) aus der Familie der Iridoviridae, Unterfamilie Alphairidovirinae.	<arg1> Lymphocystivirus </arg1> <rel> Familie </rel> <arg2> Iridoviridae </arg2>
Die VR Bank Bamberg hatte 24.295 Mitglieder.	<arg1> VR Bank Bamberg </arg1> <rel> Mitglieder </rel> <arg2> 24.295 </arg2>
1908 wurde an der Bahnstrecke Leipzig–Eilenburg der Haltepunkt Heiterblick (seit 1931: Leipzig-Heiterblick) eröffnet.	<arg1> Heiterblick </arg1> <rel> Bahn </rel> <arg2> Bahnstrecke Leipzig–Eilenburg </arg2>
Während bis Anfang der 1990er Jahre der ursprüngliche, hauptsächlich durch Felder und Natur geprägte Charakter des Stadtteils zum großen Teil erhalten geblieben war, bestimmen heute vor allem die Gewerbegebiete entlang der Torgauer Straße das Bild Heiterblicks.	<arg1> Heiterblick </arg1> <rel> Charakter </rel> <arg2> Stadtteil </arg2>
Die Verbandsgemeinde An der Finne ist eine Gebietskörperschaft im Burgenlandkreis im Süden des Bundeslandes Sachsen-Anhalt.	<arg1> Verbandsgemeinde An der Finne </arg1> <rel> Bundesland </rel> <arg2> Sachsen-Anhalt </arg2>
Flug der Dämonen liegt im Themenbereich Transsilvanien.	<arg1> Flug der Dämonen </arg1> <rel> Themenbereich </rel> <arg2> Transsilvanien </arg2>
Das Kabinett Steltzer I bildete vom 11. April 1946 bis zum 22. November 1946 die Landesregierung von Schleswig-Holstein.	<arg1> Kabinett Steltzer I </arg1> <rel> Kabinett </rel> <arg2> Landesregierung von Schleswig-Holstein </arg2>
Das Samsung Galaxy Note 5 verfügt über ein Display mit einer Bildschirmdiagonale von 5,7 Zoll, einem Seitenverhältnis von 16:9 und einer Auflösung von 2560 mal 1440 Pixeln.	<arg1> Samsung Galaxy Note 5 </arg1> <rel> Bildschirm </rel> <arg2> 5 </arg2>
Das Samsung Galaxy Note 5 verfügt über ein Display mit einer Bildschirmdiagonale von 5,7 Zoll, einem Seitenverhältnis von 16:9 und einer Auflösung von 2560 mal 1440 Pixeln.	<arg1> Samsung Galaxy Note 5 </arg1> <rel> Bildschirm </rel> <arg2> 7 Zoll </arg2>
Natalie Eilers startet für den Altius Nordic Ski Club.	<arg1> Natalie Eilers </arg1> <rel> Club </rel> <arg2> Altius Nordic Ski Club </arg2>
Vallada Agordina besteht aus den Dörfern Mas, Celat, Sachet, Andrich, Toffol (), Piaz und Cogul und liegt im Tal des Flusses Bióis an der Strada provinciale (Provinzstraße) SP346, etwa 110 km nordwestlich von Venedig, 35 km nordwestlich von Belluno und 40 km südöstlich von Bozen.	<arg1> Vallada Agordina </arg1> <rel> provincia </rel> <arg2> Belluno </arg2>
Vom Roten Knopf wird der Kristallkopf durch die Hohe Scharte () getrennt, im Norden markiert die Kristallscharte () den Übergang zum Ruiskopf.	<arg1> Kristallkopf </arg1> <rel> Scharte </rel> <arg2> Hohe Scharte </arg2>
Morris Almond begann seine Collegelaufbahn in der Rice University bei den Rice Owls.	<arg1> Morris Almond </arg1> <rel> Uni </rel> <arg2> Rice University </arg2>
Padilla de Duero ist ein nordspanisches Dorf, das verwaltungsmäßig zur Gemeinde (municipio) Peñafiel in der Provinz Valladolid in der Autonomen Gemeinschaft Kastilien-León gehört.	<arg1> Padilla de Duero </arg1> <rel> municipio </rel> <arg2> Peñafiel </arg2>
Im Buchhandel werden der Blanvalet Verlag sowie der Blanvalet Taschenbuch Verlag als selbstständige Einheiten mit den Verlagsnummern 442 beziehungsweise 7645 geführt.	<arg1> Blanvalet Verlag </arg1> <rel> Verlagsnummer </rel> <arg2> 442 </arg2>
Im Buchhandel werden der Blanvalet Verlag sowie der Blanvalet Taschenbuch Verlag als selbstständige Einheiten mit den Verlagsnummern 442 beziehungsweise 7645 geführt.	<arg1> Blanvalet Verlag </arg1> <rel> Verlagsnummer </rel> <arg2> 7645 </arg2>
Die Bezeichnung 1. Russische Nationalarmee () entstand am 4. April 1945 und war der letzte Name eines kollaborierenden Verbandes im Dienst der deutschen Wehrmacht.	<arg1> 1. Russische Nationalarmee </arg1> <rel> Wehr </rel> <arg2> Wehrmacht </arg2>
Die Fußball-Europameisterschaft der Frauen 1993 (engl.: UEFA Women’s Championship) war die fünfte Ausspielung der europäischen Kontinentalmeisterschaft im Frauenfußball und fand vom 29. Juni bis zum 4. Juli im reinen K.-o.-System in Italien statt.	<arg1> Fußball-Europameisterschaft der Frauen 1993 </arg1> <rel> Kontinent </rel> <arg2> Europa </arg2>
Surveyor 3 startete am 17. April 1967 an Bord einer Atlas-Centaur-Rakete von der Startrampe LC-36 der Cape Canaveral Air Force Station.	<arg1> Surveyor 3 </arg1> <rel> Startrampe </rel> <arg2> Cape Canaveral Air Force Station </arg2>
Mit einer Dominanz von 2450 m und einer Prominenz von etwas mehr als 136 m über dem zum Kleinen Feldberg () überleitenden Sattel am Fuchstanz () zählt der Altkönig zu den bedeutendsten Taunusgipfeln.	<arg1> Altkönig </arg1> <rel> Prominenz </rel> <arg2> 136 </arg2>
Die Sakartvelos Skauturi Modzraobis Organizatsia hatte 2008 1.240 Mitglieder.	<arg1> Sakartvelos Skauturi Modzraobis Organizatsia </arg1> <rel> Mitglieder </rel> <arg2> 1.240 </arg2>
Das Kraftwerk Gneisenau wurde nach Schließung der Zeche (1985) ebenfalls stillgelegt (1990) und teilweise abgerissen.	<arg1> Kraftwerk Gneisenau </arg1> <rel> Schließung </rel> <arg2> 1990 </arg2>
Chris Lindstrom (* 28. Februar 1997 in Dudley, Massachusetts) ist ein US-amerikanischer Footballspieler auf der Position des Offensive Guard, der am Boston College College Football spielte.	<arg1> Chris Lindstrom </arg1> <rel> College </rel> <arg2> Boston College </arg2>
Chris Lindstrom (* 28. Februar 1997 in Dudley, Massachusetts) ist ein US-amerikanischer Footballspieler auf der Position des Offensive Guard, der am Boston College College Football spielte.	<arg1> Chris Lindstrom </arg1> <rel> Position </rel> <arg2> an </arg2>
Die Richtlinie 2004/113/EG des Rates vom 13. Dezember 2004 zur Verwirklichung des Grundsatzes der Gleichbehandlung von Frauen und Männern beim Zugang zu und bei der Versorgung mit Gütern und Dienstleistungen regelt ein einheitliches Schutzniveau zur Verwirklichung des Grundsatzes der Gleichbehandlung von Männern und Frauen beim Zugang zu und bei der Versorgung mit Gütern und Dienstleistungen.	<arg1> Richtlinie 2004/113/EG </arg1> <rel> Grundsatz </rel> <arg2> Richtlinie </arg2>
Vor der Gebietsreform in Bayern war der Markt Rennertshofen mit dem Landkreis Neuburg an der Donau dem Regierungsbezirk Schwaben zugeordnet, seit dem 1. Juli 1972 gehört er zum Regierungsbezirk Oberbayern.	<arg1> Rennertshofen </arg1> <rel> Land </rel> <arg2> Bayern </arg2>
Vor der Gebietsreform in Bayern war der Markt Rennertshofen mit dem Landkreis Neuburg an der Donau dem Regierungsbezirk Schwaben zugeordnet, seit dem 1. Juli 1972 gehört er zum Regierungsbezirk Oberbayern.	<arg1> Rennertshofen </arg1> <rel> Regierungsbezirk </rel> <arg2> Oberbayern </arg2>
Diepert ist eine Einzelsiedlung in der belgischen Eifel, die aus lediglich einem Haus mit zwei Bewohnern besteht (Stand am 31. Dezember 2016) und zur Gemeinde Burg-Reuland in der Deutschsprachigen Gemeinschaft gehört.	<arg1> Diepert </arg1> <rel> Gemeinschaft </rel> <arg2> Burg-Reuland </arg2>
Diepert ist eine Einzelsiedlung in der belgischen Eifel, die aus lediglich einem Haus mit zwei Bewohnern besteht (Stand am 31. Dezember 2016) und zur Gemeinde Burg-Reuland in der Deutschsprachigen Gemeinschaft gehört.	<arg1> Diepert </arg1> <rel> Bewohner </rel> <arg2> 2 </arg2>
Das Gestein des Gatschkopf besteht zum größten Teil aus Lias-Fleckenmergel.	<arg1> Gatschkopf </arg1> <rel> Gestein </rel> <arg2> Lias-Fleckenmergel </arg2>
Bedingt durch die Lage an der Rollbahn, der Nähe zu Bremen und dem seit 1915 bestehenden Anschluss zur kreuzenden Bremen-Thedinghauser Eisenbahn, deren Personenzüge allerdings an einem eigenen Bahnhof Kirchweyhe Ort weitab des Staatsbahnhofes hielten, entwickelte sich der Bahnhof 1907 bis 1915 zu einem der größten Güterverschiebebahnhöfe im norddeutschen Raum.	<arg1> Bahnhof Kirchweyhe </arg1> <rel> Lage </rel> <arg2> Kirchweyhe </arg2>
Il marche seul ist ein 1994 auf dem Album Allez leur dire erschienenes Lied des französischen Reggae-Musikers Tonton David.	<arg1> Il marche seul </arg1> <rel> Musiker </rel> <arg2> Tonton David </arg2>
Il marche seul ist ein 1994 auf dem Album Allez leur dire erschienenes Lied des französischen Reggae-Musikers Tonton David.	<arg1> Il marche seul </arg1> <rel> Album </rel> <arg2> Allez leur dire </arg2>
Zusammen mit Eberstadt, Ellhofen und Lehrensteinsfeld bildet Weinsberg den Gemeindeverwaltungsverband „Raum Weinsberg“ mit Sitz in Weinsberg.	<arg1> Weinsberg </arg1> <rel> Gemeindeverwaltungsverband </rel> <arg2> „Raum Weinsberg“ </arg2>
Der Gemeindevorstand besteht aus Bürgermeister Konrad Walk, Vizebürgermeisterin Michaela Wallner und Johann Eder von der Liste Aufwind, Helmuth Perterer von der Liste Alternative für Hochfilzen und Georg Arnold von der SPÖ.	<arg1> Hochfilzen </arg1> <rel> Bürgermeister </rel> <arg2> Konrad Walk </arg2>
1982 wurde Rajewskaja aus dem Anapski rajon ausgegliedert und dem Stadtsowjet Noworossijsk unterstellt, aus dessen Territorium 2006 der heutige Stadtkreis hervorging.	<arg1> Rajewskaja </arg1> <rel> Territorium </rel> <arg2> Noworossijsk </arg2>
Der AirTrain Newark hält an den Stationen P1, P2 und P3, gefolgt von den Terminals A, B und C, P4 und der Newark Liberty International Airport Station.	<arg1> Newark Liberty International Airport </arg1> <rel> Terminals </rel> <arg2> 3 </arg2>
Private Dancer ist das fünfte Soloalbum der US-amerikanischen Sängerin Tina Turner.	<arg1> Private Dancer </arg1> <rel> Sänger </rel> <arg2> Tina Turner </arg2>
Der Kathreinkogel ist ein Zeugenberg bzw. eine tektonische Mini-Klippe aus mitteltriassischem, schwach metamorph überprägtem, kalkalgenführendem Dolomit („Diploporendolomit“), der auf einen mylonitischen Glimmerschiefer des prä-permischen Grundgebirges überschoben ist.	<arg1> Kathreinkogel </arg1> <rel> Klippe </rel> <arg2> Dolomit </arg2>
Die Charlottenhöhle gehört damit zu den ersten Schauhöhlen mit elektrischer Beleuchtung weltweit nach der Kraushöhle in der Steiermark, die 1883 als erste Höhle der Welt elektrisch beleuchtet wurde.	<arg1> Charlottenhöhle </arg1> <rel> Beleuchtung </rel> <arg2> elektrisch </arg2>
Karasburg (bis 1939 Kalkfontein) ist eine Gemeinde und Kreisstadt des Wahlkreises Karasburg-Ost in der Region im Süden Namibias, unweit der Grenze zu Südafrika.	<arg1> Karasburg </arg1> <rel> Wahlkreis </rel> <arg2> Karasburg-Ost </arg2>
Die Urheberrechtspraxis von Baidu Baike wird im Abschnitt Nutzungsbedingungen der Hilfe-Seite veröffentlicht.	<arg1> Baidu Baike </arg1> <rel> Urheber </rel> <arg2> Baidu </arg2>
HIP 11915 ist ein Gelber Zwerg im Sternbild Walfisch, der rund 186 Lichtjahre von der Sonne entfernt ist.	<arg1> HIP 11915 </arg1> <rel> in </rel> <arg2> 11915 </arg2>
Raków Częstochowa trägt seine Heimspiele im Miejski Stadion Piłkarski Raków aus, es hat 4200 Plätze.	<arg1> Raków Częstochowa </arg1> <rel> Stadion </rel> <arg2> Miejski Stadion Piłkarski Raków </arg2>
Auf dem europäischen Klassikermarkt spielt der Continental Mark III wie die meisten anderen amerikanischen Autos eine Außenseiterrolle.	<arg1> Continental Mark III </arg1> <rel> Klassiker </rel> <arg2> Mark III </arg2>
Das Franchise der Rome Frenzy wurde im Frühjahr 2010 als eines der sechs Gründungsmitglieder der Federal Hockey League gegründet, in der sie in der Saison 2010/11 am Spielbetrieb teilnahmen.	<arg1> Rome Frenzy </arg1> <rel> Gründung </rel> <arg2> 2010 </arg2>
PortAventura World ist mit etwa 3,5 Millionen Besuchern jährlich das größte spanische Freizeit-Resort.	<arg1> PortAventura World </arg1> <rel> Besucher </rel> <arg2> 3,5 Millionen </arg2>
Die Divizia A 1950 war die 13. Spielzeit in der Geschichte der rumänischen Fußballliga Divizia A. Meister wurde Flamura Roșie UT Arad.	<arg1> Divizia A 1950 </arg1> <rel> Meister </rel> <arg2> Flamura Roșie UT Arad </arg2>
Das Fußballspielen erlernte Michal Nguyễn in seinem Geburtsland Tschechien bei FK Litvínov, FK Teplice und FK Baník Most.	<arg1> Michal Nguyễn </arg1> <rel> Geburtsland </rel> <arg2> Tschechien </arg2>
Die Geschichte der Sportart Eishockey in Bad Kissingen in Unterfranken begann 1977, als der SC Bad Kissingen mit seiner Eishockeyabteilung gegründet wurde.	<arg1> Eishockey in Bad Kissingen </arg1> <rel> Geschichte </rel> <arg2> SC Bad Kissingen </arg2>
Die Kreuzarme des Petersdomes gehen auf die Planungen Michelangelos zurück und führen von der Vierung aus in die Himmelsrichtungen Norden, Westen und Süden.	<arg1> Petersdom </arg1> <rel> Plan </rel> <arg2> und </arg2>
Die Zietenstraße wurde Anfang des 20. Jahrhunderts im Rahmen der städtischen Erweiterung nach Norden angelegt, am 11. August 1903 nach dem preußischen Husarengeneral Hans Joachim von Zieten benannt und eingeweiht.	<arg1> Zietenstraße </arg1> <rel> angelegt </rel> <arg2> 11. August 1903 </arg2>
In der Marienglashöhle hat sich wie bei anderen untertägigen Schauobjekten mit elektrischer Beleuchtung im Bereich der Lampen eine ausgeprägte, als Lampenflora bezeichnete Pflanzengemeinschaft entwickelt.	<arg1> Marienglashöhle </arg1> <rel> Beleuchtung </rel> <arg2> elektrisch </arg2>
Die Gemeinde, bestehend aus den drei Gemeindeteilen Biehain, Horka und Mückenhain, gehört zum Verwaltungsverband Weißer Schöps/Neiße.	<arg1> Horka </arg1> <rel> Verwaltungsverband </rel> <arg2> Weißer Schöps/Neiße </arg2>
1943 gingen zwei weitere U-Boote verloren, sodass die Royal Navy bei Kriegsende lediglich zwei Einheiten der Tempest-Klasse besaß, die 1947 verschrottet wurden.	<arg1> Tempest-Klasse </arg1> <rel> Klasse </rel> <arg2> Tempest </arg2>
1943 gingen zwei weitere U-Boote verloren, sodass die Royal Navy bei Kriegsende lediglich zwei Einheiten der Tempest-Klasse besaß, die 1947 verschrottet wurden.	<arg1> Tempest-Klasse </arg1> <rel> Einheiten </rel> <arg2> 7 </arg2>
Zum 1. Januar 2019 wurden Jeufosse und Port-Villez zur commune nouvelle Notre-Dame-de-la-Mer zusammengeschlossen.	<arg1> Jeufosse </arg1> <rel> commune </rel> <arg2> Notre-Dame-de-la-Mer </arg2>
Die VR-Bank Nordeifel eG ist eine deutsche Genossenschaftsbank in der Rechtsform einer eingetragenen Genossenschaft mit Sitz in Schleiden.	<arg1> VR-Bank Nordeifel </arg1> <rel> Rechtsform </rel> <arg2> eG </arg2>
Die VR-Bank Nordeifel eG ist eine deutsche Genossenschaftsbank in der Rechtsform einer eingetragenen Genossenschaft mit Sitz in Schleiden.	<arg1> VR-Bank Nordeifel </arg1> <rel> Sitz </rel> <arg2> Schleiden </arg2>
Bevölkerungsreichste Stadt Baden-Württembergs ist die Landeshauptstadt Stuttgart, gefolgt von Karlsruhe und Mannheim.	<arg1> Baden-Württemberg </arg1> <rel> Landeshauptstadt </rel> <arg2> Stuttgart </arg2>
Die deutsche Version von Duke Nukem Forever erhielt ohne Änderungen gegenüber der Originalfassung von der USK eine Altersfreigabe ab 18 Jahren und erlaubt das Umschalten zwischen deutscher und englischer Sprachausgabe.	<arg1> Duke Nukem Forever </arg1> <rel> USK </rel> <arg2> 18 </arg2>
Die Deutsche Gesellschaft für Orthopädie und Unfallchirurgie (DGOU) mit Sitz in Berlin ist eine medizinisch-wissenschaftliche Fachgesellschaft mit mehr als 10.600 Mitgliedern.	<arg1> Deutsche Gesellschaft für Orthopädie und Unfallchirurgie </arg1> <rel> Mitglieder </rel> <arg2> mehr als 10.600 </arg2>
Der Heimat- und Geschichtsverein Nörvenich (voller Name: Heimat- und Geschichtsverein der Gemeinde Nörvenich e. V.) (HGV Nörvenich) ist der Geschichtsverein für die Gemeinde Nörvenich im Kreis Düren in Nordrhein-Westfalen.	<arg1> Heimat- und Geschichtsverein Nörvenich </arg1> <rel> Name </rel> <arg2> Heimat- und Geschichtsverein der Gemeinde Nörvenich e. V. </arg2>
Der Heimat- und Geschichtsverein Nörvenich (voller Name: Heimat- und Geschichtsverein der Gemeinde Nörvenich e. V.) (HGV Nörvenich) ist der Geschichtsverein für die Gemeinde Nörvenich im Kreis Düren in Nordrhein-Westfalen.	<arg1> Heimat- und Geschichtsverein Nörvenich </arg1> <rel> Heim </rel> <arg2> Nörvenich </arg2>
In dieser Zeit war Valhardi eine der beliebtesten Serien des Spirou Magazins und in beinahe jeder Ausgabe vertreten.	<arg1> Valhardi </arg1> <rel> Magazin </rel> <arg2> Spirou </arg2>
Die Colorado Caribous (auch The Caribous of Colorado genannt) waren eine US-amerikanische Fußballmannschaft aus Denver, der Hauptstadt und bevölkerungsreichsten Stadt des US-Bundesstaates Colorado, das im Spieljahr 1978 am Spielbetrieb der North American Soccer League (NASL) teilnahm.	<arg1> Colorado Caribous </arg1> <rel> Bund </rel> <arg2> North American Soccer League </arg2>
Heute ist die Grabeskirche in den Händen von sechs christlichen Konfessionen: Die Hauptverwaltung der Kirche haben die Griechisch-Orthodoxen, die römisch-katholische Kirche, vertreten durch den Franziskaner-Orden, und die Armenische Apostolische Kirche inne.	<arg1> Grabeskirche </arg1> <rel> Orden </rel> <arg2> Franziskaner </arg2>
Als Teilnehmer des Gold Cups 2015, die nicht bereits auf anderem Wege für die Copa América Centenario 2016 qualifiziert waren, kamen somit noch Haiti, Kuba, Panama und Trinidad und Tobago in Betracht.	<arg1> Copa América Centenario 2016 </arg1> <rel> Teilnehmer </rel> <arg2> 16 </arg2>
Der Landkreis Bergzabern war ein Landkreis in Rheinland-Pfalz, der am 7. Juni 1969 im Zuge der dortigen Verwaltungsreform aufgelöst wurde.	<arg1> Landkreis Bergzabern </arg1> <rel> aufgelöst </rel> <arg2> 1969 </arg2>
Der Landkreis Bergzabern war ein Landkreis in Rheinland-Pfalz, der am 7. Juni 1969 im Zuge der dortigen Verwaltungsreform aufgelöst wurde.	<arg1> Landkreis Bergzabern </arg1> <rel> Land </rel> <arg2> Rheinland-Pfalz </arg2>
Rekordmeister der Kreisliga Saale ist der FC Wacker Halle, der den Titel zweimal gewinnen konnte.	<arg1> Kreisliga Saale </arg1> <rel> Rekordmeister </rel> <arg2> FC Wacker Halle </arg2>
Regionshauptstadt ist Mariental, die am Fischfluss unterhalb des Hardap-Damms liegt; größte Stadt der Region ist jedoch Rehoboth.	<arg1> Hardap </arg1> <rel> Regionshauptstadt </rel> <arg2> Mariental </arg2>
Obwohl Ryan Gomes eine gute College-Saison als Power Forward am Providence College absolvierte, wurde der damals 22-jährige erst am Ende der 2. Runde von den Boston Celtics ausgewählt, da die meisten Scouts und Teams der Meinung waren, Gomes' Größe und Stärken würden nicht gut in die NBA passen.	<arg1> Ryan Gomes </arg1> <rel> College </rel> <arg2> Providence College </arg2>
Die Polymerisationswärme beträgt −67 kJ·mol−1 bzw. –930 kJ·kg−1. Acrylsäure erfordert weiters besondere Sorgfalt beim Transport im flüssigen Aggregatzustand mittels Pumpen, um eine Zerstörung von Anlagenteilen aufgrund spontaner Polymerisation zu verhindern.	<arg1> Acrylsäure </arg1> <rel> Aggregat </rel> <arg2> flüssig </arg2>
Amphoe Mae Sariang (in Thai ) ist ein Landkreis (Amphoe – Verwaltungs-Distrikt) entlang des Yuam-Flusses im Westen der Provinz Mae Hong Son.	<arg1> Amphoe Mae Sariang </arg1> <rel> Thai </rel> <arg2> lang </arg2>
Amphoe Mae Sariang (in Thai ) ist ein Landkreis (Amphoe – Verwaltungs-Distrikt) entlang des Yuam-Flusses im Westen der Provinz Mae Hong Son.	<arg1> Amphoe Mae Sariang </arg1> <rel> Provinz </rel> <arg2> Mae Hong Son </arg2>
Kyanit entwickelt überwiegend prismatische bis tafelige Kristalle mit glasähnlichem Glanz auf den Oberflächen, kommt aber auch in Form faseriger oder körniger bis massiger Mineral-Aggregate vor.	<arg1> Kyanit </arg1> <rel> Glanz </rel> <arg2> alle </arg2>
Die Kinofassung war FSK 16, mittlerweile wurde Formicula ab 12 Jahren freigegeben.	<arg1> Formicula </arg1> <rel> FSK </rel> <arg2> 12 </arg2>
Copargo ist eine Kommune im Nordwesten von Benin im Departement Donga.	<arg1> Copargo </arg1> <rel> Departement </rel> <arg2> Donga </arg2>
